Date,Person,Party,Is Local,Question
20/07/2022,Perfect,Labour,0,"Following the long delays in direct payments being provided to families with children with disabilities at the end of 2021 and the start of 2022, is the Cabinet Member now satisfied that there are no outstanding complaints with either Children's Services or Inspire Community Trust regarding these payments?"
20/07/2022,Sandhu,Conservatives,0,Could the Cabinet Member for Growth update me on the recent night market in Bexleyheath?
02/11/2022,Amaning,Labour,0,"Can the Cabinet Member confirm that ECHPs have been assessed on time, that other means to identify children with autism are highlighted in schools, so that there is no delay in having ECHPs completed?"
02/11/2022,Amaning,Labour,0,Could the Cabinet Member please evidence the support voluntary services are being given by the Local Authority to continue providing the mental health support to vulnerable residents of Bexley?
02/11/2022,Amaning,Labour,0,"Could the Cabinet Member please outline learnings the Council will be taking forward amidst complaints from parents of SEN children within schools, to ensure that parents' concerns are being addressed, in a timely and respectful manner?"
02/11/2022,Asunramu,Labour,0,Would the Cabinet Member join me in congratulating the BAME Staff Network on the success of events they have held in October in celebrating Black History Month?
02/11/2022,Asunramu,Labour,0,Could the Cabinet Member for Children's Services please outline what the Council is doing to support care leavers during this cost-of-living crisis?
02/11/2022,Asunramu,Labour,0,Will the Cabinet Member for Education update us on the way that the Council decides school transport applications for children with disabilities since the 2019 Ombudsman criticism?
02/11/2022,Asunramu,Labour,1,"Will the Cabinet Member for Education, tell us what assurances he gave to parents of King Henry School amidst the school's inadequate Ofsted ruling, and provide an update on the conversations he has had with Leigh Academies Trust with regards to a strategy for improvement?"
02/11/2022,Asunramu,Labour,0,Could the Cabinet Member for Children's Services please update Members on the Council’s approach to preventing young people in the Borough being groomed for County lines?
02/11/2022,Borella,Labour,0,Could the Leader update Members on how the fair funding review is going?
02/11/2022,Borella,Labour,0,Could the Cabinet Member outline what arrangements were put in place to protect library staff and users during the recent disgraceful demonstrations organised by the far-right group ‘patriotic alternative’ against the well-supported drag queen story?
02/11/2022,Catterall,Conservatives,0,Can I ask the Cabinet Member for Education for an update on the Holiday Activities and Food (HAF) Programme organised by the London Borough of Bexley during the school summer holidays 2022?
02/11/2022,Chris Taylor,Conservatives,0,Will the Cabinet Member for Places join me in congratulating and thanking our Parks team and the Friends groups and volunteers whose work has resulted in Danson Park and Lesnes Abbey being voted as among the very best parks in London?
02/11/2022,Curtois,Conservatives,0,Can the Cabinet Member say what the impact of the 2021 strike by Unite Union - and backed entirely by Labour Councillors - has had on this Borough’s recycling rate for 2021/22?
02/11/2022,Day,Labour,0,What representations have the Council made to the Secretary of State for Transport and Southeastern regarding the December timetable changes?
02/11/2022,Day,Labour,0,Could the Leader of the Council confirm her intention to remain as Leader of the Council for the rest of the Municipal Year 2022/23?
02/11/2022,Day,Labour,0,Could the Cabinet Member detail plans on how the Council will narrow the unacceptable gap and improve public health outcomes for people in the North of the Borough?
02/11/2022,Day,Labour,0,"Could the Cabinet Member detail how the mental health needs of residents will be met over the coming months, with the knowledge that there is already an increased waiting time for support and a cost-of-living crisis which is further impacting our residents’ mental health?"
02/11/2022,Dourmoush,Conservatives,0,What action is being taken to support households with costs of living pressures?
02/11/2022,Dourmoush,Conservatives,0,What is the Cabinet Member’s assessment of the impact on local government finances caused by global economic pressures?
02/11/2022,Ferguson,Labour,0,Does the Cabinet Member believe the impact of the Government’s fiscal statement of 23rd September has made the Council’s long-term financial position better or worse?
02/11/2022,Ferguson,Labour,0,"Could the Cabinet Member confirm the percentage of planning applications that hit the affordable housing requirements, as outlined in the Local Plan, which were approved in 2021/22?"
02/11/2022,Ferguson,Labour,0,Could the Cabinet Member assure me that cleaning schedules and resources to deal with rubbish and fly tipping are spread evenly across the whole of the Borough?
02/11/2022,Francis,Labour,0,"Given the current Prime Minister’s statement on 14th October 2022 that “spending will grow less rapidly than previously planned”, what is the Cabinet Member’s estimate of the impact on the Council’s future spending ability if this were to be seen in the grants which the Council receives?"
02/11/2022,Francis,Labour,1,Could the Cabinet Member confirm in which month of this Municipal Year he believes consultation will be undertaken with residents regarding the introduction of a Belvedere Controlled Parking Zone?
02/11/2022,Gill,Labour,0,Does the Leader and her group condemn all forms of racism?
02/11/2022,Moore,Conservatives,0,I would like to ask the Cabinet Member for Education what impact the opening of the new Cleeve Meadow and Cornerstone Schools has had on SEN provision in Bexley.
02/11/2022,Moore,Conservatives,0,Will the Cabinet Member for Children’s Services please tell us what percentage of care leavers are in suitable accommodation?
02/11/2022,Newton,Conservatives,0,Can the Cabinet Member for Education tell me what is the current performance level by the Council in completing Education Health and Care Plans (EHCPs) assessments within the target of 20 weeks?
02/11/2022,Newton,Conservatives,0,"Following Black History Month, will the Cabinet Member please update us on the progress of the Workforce Race Equality Standard (WRES) Action Plan within the service?"
02/11/2022,Nicola Taylor,Labour,1,"Could the Cabinet Member give an assurance that despite the high tender costs of Erith Riverside Gardens which is under review, the much-needed play equipment will remain part of the project?"
02/11/2022,Ogundayo,Labour,0,"Could the Leader please outline where in Bexley’s budget “there is fat to be trimmed”, as stated by Paul Scully MP, the government minister for Local Government?"
02/11/2022,Ogundayo,Labour,1,"Could the Cabinet Member explain why there is yet another delay to Thamesmead Library opening, whilst the rest of the building is fully functional?"
02/11/2022,Perfect,Labour,0,Could the Cabinet Member for Children's Services please outline the Council's process for ensuring the relevant agencies are notified when children in our care are reported missing?
02/11/2022,Reader,Conservatives,0,Can the Cabinet Member for Resources give an update on the rollout of the Council Tax Energy Rebate?
02/11/2022,Sandhu,Conservatives,0,Can the Cabinet Member for Growth update us on the success of the Night Markets in Bexleyheath?
02/11/2022,Slaughter,Conservatives,0,Would the Cabinet Member for Places set out the details of the new textile recycling scheme which has recently launched?
02/11/2022,Ward-Wilson,Conservatives,0,Will the Cabinet Member for Children’s Services please update us on the current position regarding availability and costs of residential placements?
26/04/2023,Amaning,Labour,0,"Following the tragic death of the mother and her sons in Belvedere, could the Cabinet Member please share how the Council is ensuring details of mental health support and services are visible and readily available to all residents?"
26/04/2023,Amaning,Labour,0,"Following the release of the Casey report, which cited that racism, homophobia and misogyny are rife within the police force, could the Cabinet Member please detail actions Bexley police have shared with the Cabinet Member as to how they will address these issues going forward?"
26/04/2023,Amaning,Labour,0,"Can the Cabinet Member give us an update of work which has been undertaken with charitable organisations such as Mind, Food Banks, and the Samaritans to support communities in this desperate time?"
26/04/2023,Asunramu,Labour,0,Could the Cabinet Member outline the conditions attached to the DfE Dedicated Schools grant settlement?
26/04/2023,Borella,Labour,0,"Are the present Code of Conduct sanctions as determined by the Localism Act 2011, robust enough to deal with Member indiscretions?"
26/04/2023,Borella,Labour,0,"Why are there a large number of Cabinet Member decisions in the Places directorate still in the forward plan that would normally require public consultations through the budget process, as agreed at the Budget Council on 8 March 2023?"
26/04/2023,Catterall,Conservatives,0,Can the Cabinet Member for Education tell us what is in place to support opportunities for people in Bexley to undertake apprenticeships?
26/04/2023,Chris Taylor,Conservatives,0,Would the Cabinet Member for Education update Members on developments at the Learning & Enterprise College Bexley?
26/04/2023,Curtois,Conservatives,0,Could the Cabinet Member for Growth update us on the activity of Bexley Business and Employment working with Council tax Reduction scheme claimants?
26/04/2023,Day,Labour,0,Could the Cabinet Member please update Members on the present and future impact on residents placed in care and respite care due to the tragic Parkview Care home fire?
26/04/2023,Day,Labour,0,"Given that as Councillors, we are expected to hold ourselves to a high standard and apologise and undertake training when we fall short of that standard, could you please share what further action you believe should be taken when a Councillor continuously receives public complaints regarding their behaviour"
26/04/2023,Day,Labour,0,Could the Cabinet Member confirm whether Mental Health and Suicide Prevention training is mandatory for Housing Officers or could be implemented to ensure the best support is provided to homelessness applicants approaching with mental health issues?
26/04/2023,Dourmoush,Conservatives,0,Can the Cabinet Member for Resources update Council on the annual council tax billing process?
26/04/2023,Dourmoush,Conservatives,0,Could the Cabinet Member for Places update the meeting on the latest developments with our Libraries?
26/04/2023,Ferguson,Labour,0,Could the Cabinet Member provide the financial comparison between the agreed Highways capital programme for the 2022/23 financial year against the actual spending for 22/23?
26/04/2023,Francis,Labour,0,"Given that the Public Cabinet Papers of 15 November 2022 outlined the budget assumptions for 2023/24 including the Deep Dives and stated, “No public consultation is currently required on the current plans as there is no impact on residents”, does the Leader believe that statement was correct?"
26/04/2023,Francis,Labour,0,Can the Cabinet Member provide an update on the provision of services to Bexley residents following the cyber-attack on Capita on 31 March 2023?
26/04/2023,Francis,Labour,0,Could the Cabinet Member provide a statement of the arrangements for the auditing of the expenditure of the Household Support Fund (Round 3)?
26/04/2023,Gill,Labour,0,Could the Cabinet Member for Places please update the progress and impact of the drainage cleaning and gritting service review?
26/04/2023,Hall,Labour,0,Can the Leader of the Council give us an update on the current position regarding the Mayor of London’s plans to extend ULEZ to Bexley?
26/04/2023,Hall,Labour,0,Can the Cabinet Member for Places update us on the number of street parties planned for the King’s Coronation next month?
26/04/2023,Hinkley,Labour,0,"With the first ‘call in’ of an executive decision in 11 years, by Conservative Members of the Places OSC regarding the fair charging policy at reuse and recycling centres, is it time to change the ‘call in’ threshold, to allow more effective scrutiny of executive decisions?"
26/04/2023,Hinkley,Labour,0,Could the Cabinet Member for Places please update the progress of locations and implementation of the yellow box junction review?
26/04/2023,Jackson,Conservatives,0,Could the Cabinet Member for Resources provide an update on the Household Support Fund?
26/04/2023,Moore,Conservatives,0,Can the Cabinet Member for Education update Council on the Holiday Food & Activity programme during the Easter holidays?
26/04/2023,Nicola Taylor,Labour,1,Could the Cabinet Member provide the financial details of the acquisition and sale of 89 and 89a Erith High Street to BexleyCo?
26/04/2023,Ogundayo,Labour,0,Could the Cabinet Member for Places please update Members if Bexley is still the top London borough for recycling?
26/04/2023,Ogundayo,Labour,0,Could the Cabinet Member update Members on the Council’s response to the latest City Airport expansion planning submission?
26/04/2023,Perfect,Labour,0,Could the Cabinet Member for Places please update the progress of locations and implementation of the limited parking bay review?
26/04/2023,Reader,Conservatives,0,Does the Cabinet Member for Communities and Housing think that the Baroness Casey report might result in the Mayor of London (as Police & Crime Commissioner for London) finally accepting that the Basic Command Unit model doesn’t work for boroughs like Bexley?
26/04/2023,Reader,Conservatives,0,Would the Cabinet Member for Adults’ Services and Health update us on our Health and Wellbeing Strategy and Vision for Health?
26/04/2023,Sandhu,Conservatives,0,Will the Cabinet Member for Adults’ Services and Health join me in thanking all those involved in the evacuation of vulnerable residents from the Parkview Care Home recently?
26/04/2023,Slaughter,Conservatives,0,Would the Cabinet Member for Places agree with me that it’s unfortunate that Bexley lost its place as the top recycler in London last year after holding for 17 years and what plans are in place to ensure we regain the title next year?
26/04/2023,Ward-Wilson,Conservatives,0,Would the Cabinet Member for Children’s Services confirm how many other Councils have received consecutive Ofsted Outstanding judgements for their Children's Service since the present Children's Service inspection framework was introduced in 2018?
19/07/2023,Amaning,Labour,0,Is the Council aware or has identified any reinforced autoclaved aerated concrete (RAAC) in our schools and educational institutions and have they sought any specialist advice or management plans to deal with this?
19/07/2023,Asunramu,Labour,0,Will the Cabinet Member commit to ensuring that Bexley celebrates Eid every year in Danson Park for the many Muslims that reside in the Borough?
19/07/2023,Asunramu,Labour,0,Can the Cabinet Member for Education outline the outreach work completed to ensure organisations catering to over 14-year-olds in the Borough can benefit from the HAFs programmes over summer 2023?
19/07/2023,Bacon,Conservatives,0,Can I ask the Cabinet Member for Places for an update on progress with the Council’s road maintenance programme for 2023/24?
19/07/2023,Ball,Labour,0,Will the Leader join in congratulating the organiser and volunteers at Bexley's first ever Pride?
19/07/2023,Ball,Labour,0,Would the Leader of the Council join me in calling for a plaque or similar permanent marker that acknowledges the role in slavery associated with Danson House?
19/07/2023,Ball,Labour,0,Can the Cabinet Member confirm the capital programme underspend from 22/23 on repairs to Bexley's roads and pavements?
19/07/2023,Borella,Labour,0,"Does the Cabinet Member support the recent progress in the building of the DLR extension to Thamesmead, meaning a future extension to Belvedere is more likely?"
19/07/2023,Borella,Labour,0,Why has the implementation of the new selective licensing area been delayed from its original inception date of December 2023 to the new date of April 2024?
19/07/2023,Catterall,Conservatives,0,Can the Cabinet Member for Adults’ Services update us on development of the Adult Social Care Vision?
19/07/2023,Catterall,Conservatives,0,Will the Cabinet Member for Children’s Services please tell us how Bexley matches the current aspirations of the Care Leaver Covenant?
19/07/2023,Chris Taylor,Conservatives,0,Will the Cabinet Member for Education update Members on the SEND Peer Review which took place in April?
19/07/2023,Chris Taylor,Conservatives,0,Could the Cabinet Member for Growth update us on our performance for new job starts and sustainment?
19/07/2023,Christoforides,Conservatives,0,Can I ask the Cabinet Member for Places what public transport investment the Council believes that TfL should be making in Bexley?
19/07/2023,Christoforides,Conservatives,0,Will the Cabinet Member for Places update Members on actions to reduce/combat fly-tipping?
19/07/2023,Curtois,Conservatives,0,Would the Cabinet Member for Resources give us his assessment of the inflationary pressures on the Council and impacts on the MTFS?
19/07/2023,Curtois,Conservatives,0,Could the Cabinet Member for Communities and Housing clarify what is being done to prevent homelessness?
19/07/2023,Day,Labour,1,"What effect does the Cabinet Member think that the removal of the Selective Licensing scheme next month will have on residents in Slade Green and Northend who live in private-rented accommodation, such as in Manor Rd and on Frobisher Estate?"
19/07/2023,Ferguson,Labour,0,"Does the Cabinet Member agree with and fully support Newham Council's decision regarding London City Airport proposed expansion plan, as all neighbouring boroughs have an interest in the operations at the airport?"
19/07/2023,Francis,Labour,0,"According to the latest census data, how many Bexley households have a mortgage?"
19/07/2023,Francis,Labour,0,How many voter authority certificates has the Council issued to electors?
19/07/2023,Francis,Labour,0,How many complaints has the Council received from residents regarding the text message reminder sent on 29 June 2023 regarding council tax payments?
19/07/2023,Francis,Labour,0,"How many schools, church/community halls and/or places suitable to hold a consultation event are located within a mile of the BexleyCo development site at Bursted Woods?"
19/07/2023,Francis,Labour,0,Could the Cabinet Member please outline the protocols for the LBOB Twitter account?
19/07/2023,Francis,Labour,0,"Would the Leader of the Council confirm when Issue 2 of the Member Enquiries Monthly Update Report will be issued, following the very useful Issue 1 which was sent to Council Members in November 2022?"
19/07/2023,Hall,Labour,0,Could the Leader of the Council advise Members of the outcome of the Judicial Review of the Mayor of London’s plans to expand ULEZ to Bexley (& Outer London)?
19/07/2023,Hall,Labour,0,Would the Cabinet Member for Resources provide an update on the distribution and use of funds from the fourth round of the Household Support Fund?
19/07/2023,Hinkley,Labour,0,"Following changes brought about by a rare Call-in meeting relating to waste amenity sites, would the Leader consider convening the Constitution Review Panel to look collaboratively at how scrutiny and back bench Councillors from both parties can more effectively support policy formulation?"
19/07/2023,Hinkley,Labour,0,"What representations is the Cabinet member making regarding the proposed ticket office closures at Erith, Slade Green, Belvedere, Barnehurst, Welling, Bexleyheath, Falconwood and Albany Park?"
19/07/2023,Moore,Conservatives,0,Could the Cabinet Member for Education give an update on progress on the Safety Valve agreement?
19/07/2023,Moore,Conservatives,0,Will the Cabinet Member for Children’s Services please update us on recruitment of new foster carers?
19/07/2023,Newton,Conservatives,0,Could the Cabinet Member for Education please outline the work that is being done within schools across Bexley to explore the concept of consent and preventing sexual assault and abuse in schools?
19/07/2023,Nicola Taylor,Labour,1,"Does the Leader of the Council fully support that the excellent Pride on the Pier event in Erith held on the 8th July, become an annual event?"
19/07/2023,Ogundayo,Labour,0,Can the Cabinet Member please give us an update on how the Council commemorated Windrush Day and whether there are plans to do something to commemorate the day each year?
19/07/2023,O'Hare,Conservatives,0,Could the Cabinet Member for Communities and Housing confirm what the Council is doing to help residents seeking support with housing?
19/07/2023,Perfect,Labour,0,Could the Cabinet Member outline how the Council assists Year 6s with their transition to secondary school?
19/07/2023,Perfect,Labour,0,"Could the Cabinet Member provide an update on how many SEND children in the borough are being home-schooled, expanding on how the Council ensures that they have the right access to health services that they would have otherwise received at a school?"
19/07/2023,Reader,Conservatives,0,Does the Cabinet Member for Growth agree with me that the decision not to extend the DLR to Bexley is extremely disappointing?
19/07/2023,Reader,Conservatives,0,Can the Cabinet Member for Adults’ Services update us on the new Local Health and Wellbeing Strategy?
19/07/2023,Sandhu,Conservatives,0,Would the Cabinet Member for Growth join me in congratulating all those involved and the winners of the 2023 Bexleyheath business awards?
19/07/2023,Slaughter,Conservatives,0,Can the Cabinet Member for Places tell me the latest information on recycling across Bexley?
19/07/2023,Ward-Wilson,Conservatives,0,Can the Cabinet Member for Adults’ Services update us on the recent Carers Event held in Bexley?
19/07/2023,Ward-Wilson,Conservatives,0,Will the Cabinet Member for Children’s Services please update us on the progress of the SHiFT initiative?
08/11/2023,Amaning,Labour,0,Could you please outline what the Council is doing to support teachers and ensure that there is no child with undiagnosed SEN within our schools?
08/11/2023,Amaning,Labour,0,Could the Cabinet Member comment if there is a considered and sensitive way that data on people taking their life could be reported to the relevant authorities to aid a reduction in suicide and self-harm?
08/11/2023,Amaning,Labour,0,Could the Cabinet Member confirm what discussions have been had with the Bexley Borough Superintendent on practicing effective stop and search in Bexley that does not discriminate unfairly against young black boys?
08/11/2023,Amaning,Labour,1,Has the Council made an assessment on the effect that the closure of the BCU life skills centre in Bexleyheath will have on residents with mental health issues?
08/11/2023,Asunramu,Labour,0,Could you please update us on when we will receive the results of the outstanding schools Council commissioned surveys of which schools have RAAC present?
08/11/2023,Asunramu,Labour,0,"Could the Cabinet Member tell us the latest figures we have for attendance across the Borough for each level of education (primary, secondary)?"
08/11/2023,Asunramu,Labour,0,Could the Cabinet Member state the number of care experienced children and young people we currently have in the Criminal Justice System?
08/11/2023,Asunramu,Labour,0,Can we get an update on how the Council is implementing the recommendations and initiatives in the Government’s latest Children’s Social Care Implementation Strategy?
08/11/2023,Bacon,Conservatives,0,Can the Cabinet Member for Places advise the levels of funding received for Transport schemes from the Mayor of London?
08/11/2023,Ball,Labour,0,Does the Leader of the Council agree with me that vandalism is not a victimless crime and perpetrators should be condemned for their actions?
08/11/2023,Ball,Labour,0,Could the Cabinet Member update us on the spending this financial year 23/24 on pothole repairs?
08/11/2023,Ball,Labour,0,Could the Cabinet Member outline the monitoring of the weed spraying schedule for the Borough?
08/11/2023,Borella,Labour,0,"Will the Leader of the Council tell us whether she believes the Council should ask the Department for Levelling Up, Housing and Communities to commission an update of their “Local Government Finance Review – London Borough of Bexley” report of December 2021, to allow independent assessment on whether the Council has successfully implemented the recommendations within the report?"
08/11/2023,Borella,Labour,0,Will the Leader of the Council confirm which schemes within the current capital programme have experienced tender processes where a contractor was unable to be appointed and the reasons for this?
08/11/2023,Borella,Labour,0,What assessment has been made on the Council’s financial position if Kent County Council use a Sec114 notice which will effectively be declaring municipal bankruptcy?
08/11/2023,Borella,Labour,0,"With the latest budget monitoring report showing that £2.4m of the expected £5.5m from the 2022 deep dive mitigations will not be delivered, what is the impact on the Council’s financial position?"
08/11/2023,Borella,Labour,0,"With the existing selective licensing area expiring on 31 August, what is the reason for the for much delayed selective licensing consultation process?"
08/11/2023,Carew,Conservatives,0,Could the Cabinet Member for Adults’ Services outline the aims of the Health and Wellbeing Strategy?
08/11/2023,Chris Taylor,Conservatives,0,"Would the Cabinet Member for Adults’ Services update us on the recent ""Bexley on your Radar"" Event'?"
08/11/2023,Chris Taylor,Conservatives,0,"Given the events in Israel and Gaza, can the Cabinet Member reassure residents of the Council's support at this time - both in terms of community cohesion and reporting of Hate Crimes?"
08/11/2023,Curtois,Conservatives,0,Can the Cabinet Member for Growth update us on the progress of the Welling banking hub?
08/11/2023,Day,Labour,0,Could the Cabinet Member advise how sure he is that the Government will provide further funding to Bexley in November once our discharge funds are exhausted?
08/11/2023,Day,Labour,1,"Could the Cabinet Member please provide an update on the steps being taken by the Council with key stakeholders, to address the disgraceful illegal fly tipping at Ray Lamb Way?"
08/11/2023,Day,Labour,0,Please confirm whether Bexley Council Homeless Service has already or will be imminently taking part in this year’s rough sleeper count which is carried out by Councils across London to collect an annual picture of rough sleeping in each borough?
08/11/2023,Day,Labour,0,Could the Cabinet Member join me in placing on the record the dissatisfaction at the length of time taken by some of the Borough’s largest housing providers to respond to enquiries or respond to residents’ urgent housing issues?
08/11/2023,Ferguson,Labour,0,"Considering Bexley's fly-tipping and litter problem, will the Council return all bins removed from areas around the Borough for non-financial reasons separate to the funding received for a new allocation of bins?"
08/11/2023,Ferguson,Labour,0,"As Bexley already has a £7m overspend which looks set to continue rising, what is the projected figure by the end of the financial year and how will it be addressed?"
08/11/2023,Ferguson,Labour,0,"With Climate Change having more of an effect, what measures does Bexley have in place for dealing with extreme weather conditions and how they affect residents?"
08/11/2023,Francis,Labour,0,Will the Leader of the Council confirm that she is part of the LGA Conservative Group Executive that published the LGA Conservative Group manifesto in September 2023 which calls on the Government to remove caps on Council Tax?
08/11/2023,Francis,Labour,0,Will the Cabinet Member confirm which schemes within the current capital programme are anticipated to experience overspends?
08/11/2023,Francis,Labour,0,Will the Cabinet Member confirm how many residents have requested to opt out of Council Tax reminders received by text message and email?
08/11/2023,Gill,Labour,1,"Could the Cabinet Member please state the progress to introducing a trial of 1-hour free parking in Mill Road Car Park, Northumberland Heath?"
08/11/2023,Hall,Labour,0,Will the Cabinet Member for Resources provide details of the costs of the judicial review legal challenge to the expansion of the ULEZ to Bexley and the whole of Greater London?
08/11/2023,Hall,Labour,0,Can the Cabinet Member for Resources give us the details of action taken to survey for RAAC on properties owned by the Council and the outcome of those surveys?
08/11/2023,Hinkley,Labour,0,Could the Cabinet Member confirm if we have made representations to Kent County Council in relation to the potential closure of the Civic Amenity site at Dartford Heath?
08/11/2023,Hinkley,Labour,0,Will the Leader of the Council confirm how many individuals elected as a London Borough of Bexley Councillor since May 2018 does she believe have been issued a fixed penalty notice for breaches of Covid-19 regulations?
08/11/2023,Jackson,Conservatives,0,Will the Cabinet Member for Places update Members on the latest performance of the waste collection service?
08/11/2023,Jackson,Conservatives,0,Can the Cabinet Member for Places tell us what progress is being made in the roll-out programme for new street waste bins?
08/11/2023,Moore,Conservatives,0,Will the Cabinet Member for Children's Services please update us on Bexley's recent Corporate Parenting Week?
08/11/2023,Moore,Conservatives,0,Will the Cabinet Member for Children's Services please tell us the latest situation regarding foster carer recruitment?
08/11/2023,Ogundayo,Labour,0,"Could the Cabinet Member state how many tonnes of waste are collected from our streets, from kerbside collection, from Bexley litter bins, from fly tipping and from litter picked from the roads and pavements?"
08/11/2023,O'Hare,Conservatives,0,Could the Cabinet Member update us on the action the Council and partners have taken to address crime and disorder issues around Abbey Wood station?
08/11/2023,O'Hare,Conservatives,0,Will the Cabinet Member for Children's Services please tell us how the current number of children in the care of Bexley compares with this time last year?
08/11/2023,Perfect,Labour,0,Could you outline what surveys have been undertaken to determine if any of the buildings owned by the Council have been affected by RAAC?
08/11/2023,Perfect,Labour,0,Could you please update us on the current exclusion rates within the Borough and outline the work the Council is doing to eradicate those numbers and move towards becoming a no exclusions Borough?
08/11/2023,Reader,Conservatives,0,Can the Cabinet Member for Growth lay out the plans for the £1.3m secured from the UKSPF to support local businesses?
08/11/2023,Slaughter,Conservatives,0,Would the Cabinet Member for Places tell us what happens to each of the recycling waste streams collected from homes in Bexley?
08/11/2023,Ward-Wilson,Conservatives,0,Will the Cabinet Member for Places explain what are the financial benefits to residents if they put rubbish in the recycling bins rather than the residual waste bin?
08/11/2023,Ward-Wilson,Conservatives,0,Can the Cabinet Member for Resources provide an update on the support being provided to residents with costs of living pressures?
24/04/2024,Chris Taylor,Conservatives,0,Can the Cabinet Member for Education provide an update on the Safety Valve programme?
24/04/2024,Adams,Conservatives,0,Can the Leader of the Council advise the financial and resource implications of continuous questions/ complaints and FOIs from some residents?
24/04/2024,Amaning,Labour,0,How are the Council managing the considerable number of emergency works from private utility companies which are causing excessive traffic and disruption across the Borough?
24/04/2024,Amaning,Labour,0,Could the Cabinet Member confirm that assessments for children with autism are being made in the recommended timeframes?
