borough,variable,value,borough_category,is_per_capita
Southwark,Social Care Support Grant,36362.0,Inner London,0
Sutton,Social Care Support Grant,12687.0,Outer London,0
Tower Hamlets,Social Care Support Grant,34012.0,Inner London,0
Waltham Forest,Social Care Support Grant,23491.0,Outer London,0
Wandsworth,Social Care Support Grant,33611.0,Inner London,0
Westminster,Social Care Support Grant,34761.0,Inner London,0
Barking and Dagenham,Rural Services Delivery Grant,0.0,Outer London,0
Barnet,Rural Services Delivery Grant,0.0,Outer London,0
Bexley,Rural Services Delivery Grant,0.0,Outer London,0
Brent,Rural Services Delivery Grant,0.0,Outer London,0
Bromley,Rural Services Delivery Grant,0.0,Outer London,0
Camden,Rural Services Delivery Grant,0.0,Inner London,0
Croydon,Rural Services Delivery Grant,0.0,Outer London,0
Ealing,Rural Services Delivery Grant,0.0,Outer London,0
Enfield,Rural Services Delivery Grant,0.0,Outer London,0
Greenwich,Rural Services Delivery Grant,0.0,Outer London,0
Hackney,Rural Services Delivery Grant,0.0,Inner London,0
Hammersmith and Fulham,Rural Services Delivery Grant,0.0,Inner London,0
Haringey,Rural Services Delivery Grant,0.0,Inner London,0
Harrow,Rural Services Delivery Grant,0.0,Outer London,0
Havering,Rural Services Delivery Grant,0.0,Outer London,0
Hillingdon,Rural Services Delivery Grant,0.0,Outer London,0
Hounslow,Rural Services Delivery Grant,0.0,Outer London,0
Islington,Rural Services Delivery Grant,0.0,Inner London,0
Kensington and Chelsea,Rural Services Delivery Grant,0.0,Inner London,0
Kingston upon Thames,Rural Services Delivery Grant,0.0,Outer London,0
Lambeth,Rural Services Delivery Grant,0.0,Inner London,0
Lewisham,Rural Services Delivery Grant,0.0,Inner London,0
Merton,Rural Services Delivery Grant,0.0,Outer London,0
Newham,Rural Services Delivery Grant,0.0,Inner London,0
Redbridge,Rural Services Delivery Grant,0.0,Outer London,0
Richmond upon Thames,Rural Services Delivery Grant,0.0,Outer London,0
Southwark,Rural Services Delivery Grant,0.0,Inner London,0
Sutton,Rural Services Delivery Grant,0.0,Outer London,0
Tower Hamlets,Rural Services Delivery Grant,0.0,Inner London,0
Waltham Forest,Rural Services Delivery Grant,0.0,Outer London,0
Wandsworth,Rural Services Delivery Grant,0.0,Inner London,0
Westminster,Rural Services Delivery Grant,0.0,Inner London,0
Barking and Dagenham,Improved Better Care Fund,10707.0,Outer London,0
Barnet,Improved Better Care Fund,9622.0,Outer London,0
Bexley,Improved Better Care Fund,6616.0,Outer London,0
Brent,Improved Better Care Fund,13345.0,Outer London,0
Bromley,Improved Better Care Fund,7731.0,Outer London,0
Camden,Improved Better Care Fund,12874.0,Inner London,0
Croydon,Improved Better Care Fund,9978.0,Outer London,0
Ealing,Improved Better Care Fund,12680.0,Outer London,0
Enfield,Improved Better Care Fund,11726.0,Outer London,0
Greenwich,Improved Better Care Fund,15434.0,Outer London,0
Hackney,Improved Better Care Fund,16637.0,Inner London,0
Hammersmith and Fulham,Improved Better Care Fund,10027.0,Inner London,0
Haringey,Improved Better Care Fund,9806.0,Inner London,0
Harrow,Improved Better Care Fund,6664.0,Outer London,0
Havering,Improved Better Care Fund,6825.0,Outer London,0
Hillingdon,Improved Better Care Fund,7468.0,Outer London,0
Hounslow,Improved Better Care Fund,8174.0,Outer London,0
Islington,Improved Better Care Fund,14501.0,Inner London,0
Kensington and Chelsea,Improved Better Care Fund,7662.0,Inner London,0
Kingston upon Thames,Improved Better Care Fund,1840.0,Outer London,0
Lambeth,Improved Better Care Fund,14946.0,Inner London,0
Lewisham,Improved Better Care Fund,14942.0,Inner London,0
Merton,Improved Better Care Fund,5010.0,Outer London,0
Newham,Improved Better Care Fund,17193.0,Inner London,0
Redbridge,Improved Better Care Fund,10081.0,Outer London,0
Richmond upon Thames,Improved Better Care Fund,776.0,Outer London,0
Southwark,Improved Better Care Fund,17847.0,Inner London,0
Sutton,Improved Better Care Fund,4067.0,Outer London,0
Tower Hamlets,Improved Better Care Fund,16810.0,Inner London,0
Waltham Forest,Improved Better Care Fund,9486.0,Outer London,0
Wandsworth,Improved Better Care Fund,16985.0,Inner London,0
Westminster,Improved Better Care Fund,17649.0,Inner London,0
Barking and Dagenham,ASC Market Sustainability and Improvement Fund,3995.0,Outer London,0
Barnet,ASC Market Sustainability and Improvement Fund,6333.0,Outer London,0
Bexley,ASC Market Sustainability and Improvement Fund,4062.0,Outer London,0
Brent,ASC Market Sustainability and Improvement Fund,5876.0,Outer London,0
Bromley,ASC Market Sustainability and Improvement Fund,5208.0,Outer London,0
Camden,ASC Market Sustainability and Improvement Fund,5625.0,Inner London,0
Croydon,ASC Market Sustainability and Improvement Fund,6131.0,Outer London,0
Ealing,ASC Market Sustainability and Improvement Fund,6202.0,Outer London,0
Enfield,ASC Market Sustainability and Improvement Fund,5682.0,Outer London,0
Greenwich,ASC Market Sustainability and Improvement Fund,5820.0,Outer London,0
Hackney,ASC Market Sustainability and Improvement Fund,6147.0,Inner London,0
Hammersmith and Fulham,ASC Market Sustainability and Improvement Fund,4018.0,Inner London,0
Haringey,ASC Market Sustainability and Improvement Fund,5023.0,Inner London,0
Harrow,ASC Market Sustainability and Improvement Fund,4243.0,Outer London,0
Havering,ASC Market Sustainability and Improvement Fund,4400.0,Outer London,0
Hillingdon,ASC Market Sustainability and Improvement Fund,4555.0,Outer London,0
Hounslow,ASC Market Sustainability and Improvement Fund,4372.0,Outer London,0
Islington,ASC Market Sustainability and Improvement Fund,5620.0,Inner London,0
Kensington and Chelsea,ASC Market Sustainability and Improvement Fund,3792.0,Inner London,0
Kingston upon Thames,ASC Market Sustainability and Improvement Fund,2508.0,Outer London,0
Lambeth,ASC Market Sustainability and Improvement Fund,6602.0,Inner London,0
Lewisham,ASC Market Sustainability and Improvement Fund,5984.0,Inner London,0
Merton,ASC Market Sustainability and Improvement Fund,3272.0,Outer London,0
Newham,ASC Market Sustainability and Improvement Fund,6424.0,Inner London,0
Redbridge,ASC Market Sustainability and Improvement Fund,4882.0,Outer London,0
Richmond upon Thames,ASC Market Sustainability and Improvement Fund,2891.0,Outer London,0
Southwark,ASC Market Sustainability and Improvement Fund,6872.0,Inner London,0
Sutton,ASC Market Sustainability and Improvement Fund,3226.0,Outer London,0
Tower Hamlets,ASC Market Sustainability and Improvement Fund,6409.0,Inner London,0
Waltham Forest,ASC Market Sustainability and Improvement Fund,4763.0,Outer London,0
Wandsworth,ASC Market Sustainability and Improvement Fund,5676.0,Inner London,0
Westminster,ASC Market Sustainability and Improvement Fund,5789.0,Inner London,0
Barking and Dagenham,Services Grant,403.0,Outer London,0
Barnet,Services Grant,410.0,Outer London,0
Bexley,Services Grant,256.0,Outer London,0
Brent,Services Grant,617.0,Outer London,0
Bromley,Services Grant,269.0,Outer London,0
Camden,Services Grant,639.0,Inner London,0
Croydon,Services Grant,517.0,Outer London,0
Ealing,Services Grant,538.0,Outer London,0
Enfield,Services Grant,518.0,Outer London,0
Greenwich,Services Grant,583.0,Outer London,0
Hackney,Services Grant,707.0,Inner London,0
Hammersmith and Fulham,Services Grant,618.0,Inner London,0
Haringey,Services Grant,572.0,Inner London,0
Harrow,Services Grant,277.0,Outer London,0
Havering,Services Grant,241.0,Outer London,0
Hillingdon,Services Grant,330.0,Outer London,0
Hounslow,Services Grant,344.0,Outer London,0
Islington,Services Grant,677.0,Inner London,0
Kensington and Chelsea,Services Grant,368.0,Inner London,0
Kingston upon Thames,Services Grant,154.0,Outer London,0
Lambeth,Services Grant,779.0,Inner London,0
Lewisham,Services Grant,664.0,Inner London,0
Merton,Services Grant,251.0,Outer London,0
Newham,Services Grant,778.0,Inner London,0
Redbridge,Services Grant,373.0,Outer London,0
Richmond upon Thames,Services Grant,158.0,Outer London,0
Southwark,Services Grant,809.0,Inner London,0
Sutton,Services Grant,254.0,Outer London,0
Tower Hamlets,Services Grant,779.0,Inner London,0
Waltham Forest,Services Grant,490.0,Outer London,0
Wandsworth,Services Grant,516.0,Inner London,0
Westminster,Services Grant,631.0,Inner London,0
Barking and Dagenham,Adult Social Care Discharge Fund,2502.0,Outer London,0
Barnet,Adult Social Care Discharge Fund,2248.0,Outer London,0
Bexley,Adult Social Care Discharge Fund,1546.0,Outer London,0
Brent,Adult Social Care Discharge Fund,3118.0,Outer London,0
Bromley,Adult Social Care Discharge Fund,1806.0,Outer London,0
Camden,Adult Social Care Discharge Fund,3008.0,Inner London,0
Croydon,Adult Social Care Discharge Fund,2332.0,Outer London,0
Ealing,Adult Social Care Discharge Fund,2963.0,Outer London,0
Enfield,Adult Social Care Discharge Fund,2740.0,Outer London,0
Greenwich,Adult Social Care Discharge Fund,3606.0,Outer London,0
Hackney,Adult Social Care Discharge Fund,3887.0,Inner London,0
Hammersmith and Fulham,Adult Social Care Discharge Fund,2343.0,Inner London,0
Haringey,Adult Social Care Discharge Fund,2291.0,Inner London,0
Harrow,Adult Social Care Discharge Fund,1557.0,Outer London,0
Havering,Adult Social Care Discharge Fund,1595.0,Outer London,0
Hillingdon,Adult Social Care Discharge Fund,1745.0,Outer London,0
Hounslow,Adult Social Care Discharge Fund,1910.0,Outer London,0
Islington,Adult Social Care Discharge Fund,3388.0,Inner London,0
Kensington and Chelsea,Adult Social Care Discharge Fund,1790.0,Inner London,0
Kingston upon Thames,Adult Social Care Discharge Fund,430.0,Outer London,0
Lambeth,Adult Social Care Discharge Fund,3492.0,Inner London,0
Lewisham,Adult Social Care Discharge Fund,3491.0,Inner London,0
Merton,Adult Social Care Discharge Fund,1171.0,Outer London,0
Newham,Adult Social Care Discharge Fund,4017.0,Inner London,0
Redbridge,Adult Social Care Discharge Fund,2356.0,Outer London,0
Richmond upon Thames,Adult Social Care Discharge Fund,181.0,Outer London,0
Southwark,Adult Social Care Discharge Fund,4170.0,Inner London,0
Sutton,Adult Social Care Discharge Fund,950.0,Outer London,0
Tower Hamlets,Adult Social Care Discharge Fund,3928.0,Inner London,0
Waltham Forest,Adult Social Care Discharge Fund,2217.0,Outer London,0
Wandsworth,Adult Social Care Discharge Fund,3969.0,Inner London,0
Westminster,Adult Social Care Discharge Fund,4124.0,Inner London,0
Barking and Dagenham,Funding Guarantee,0.0,Outer London,0
Barnet,Funding Guarantee,0.0,Outer London,0
Bexley,Funding Guarantee,0.0,Outer London,0
Brent,Funding Guarantee,1285.0,Outer London,0
Bromley,Funding Guarantee,0.0,Outer London,0
Camden,Funding Guarantee,0.0,Inner London,0
Croydon,Funding Guarantee,0.0,Outer London,0
Ealing,Funding Guarantee,0.0,Outer London,0
Enfield,Funding Guarantee,0.0,Outer London,0
Greenwich,Funding Guarantee,0.0,Outer London,0
Hackney,Funding Guarantee,0.0,Inner London,0
Hammersmith and Fulham,Funding Guarantee,0.0,Inner London,0
Haringey,Funding Guarantee,0.0,Inner London,0
Harrow,Funding Guarantee,2274.0,Outer London,0
Havering,Funding Guarantee,0.0,Outer London,0
Hillingdon,Funding Guarantee,0.0,Outer London,0
Hounslow,Funding Guarantee,0.0,Outer London,0
Islington,Funding Guarantee,0.0,Inner London,0
Kensington and Chelsea,Funding Guarantee,0.0,Inner London,0
Kingston upon Thames,Funding Guarantee,1436.0,Outer London,0
Lambeth,Funding Guarantee,0.0,Inner London,0
Lewisham,Funding Guarantee,0.0,Inner London,0
Merton,Funding Guarantee,216.0,Outer London,0
Newham,Funding Guarantee,0.0,Inner London,0
Redbridge,Funding Guarantee,0.0,Outer London,0
Richmond upon Thames,Funding Guarantee,2612.0,Outer London,0
Southwark,Funding Guarantee,0.0,Inner London,0
Sutton,Funding Guarantee,706.0,Outer London,0
Tower Hamlets,Funding Guarantee,0.0,Inner London,0
Waltham Forest,Funding Guarantee,0.0,Outer London,0
Wandsworth,Funding Guarantee,0.0,Inner London,0
Westminster,Funding Guarantee,0.0,Inner London,0
Barking and Dagenham,Flexible Homelessness Support Grant,4449.0,Outer London,0
Barnet,Flexible Homelessness Support Grant,5852.0,Outer London,0
Bexley,Flexible Homelessness Support Grant,2803.0,Outer London,0
Brent,Flexible Homelessness Support Grant,9413.0,Outer London,0
Bromley,Flexible Homelessness Support Grant,3778.0,Outer London,0
Camden,Flexible Homelessness Support Grant,2776.0,Inner London,0
Croydon,Flexible Homelessness Support Grant,7450.0,Outer London,0
Ealing,Flexible Homelessness Support Grant,6153.0,Outer London,0
Enfield,Flexible Homelessness Support Grant,11308.0,Outer London,0
Greenwich,Flexible Homelessness Support Grant,3773.0,Outer London,0
Hackney,Flexible Homelessness Support Grant,6163.0,Inner London,0
Hammersmith and Fulham,Flexible Homelessness Support Grant,3383.0,Inner London,0
Haringey,Flexible Homelessness Support Grant,8605.0,Inner London,0
Harrow,Flexible Homelessness Support Grant,2342.0,Outer London,0
Havering,Flexible Homelessness Support Grant,2563.0,Outer London,0
Hillingdon,Flexible Homelessness Support Grant,2630.0,Outer London,0
Hounslow,Flexible Homelessness Support Grant,3067.0,Outer London,0
Islington,Flexible Homelessness Support Grant,10534.0,Inner London,0
Kensington and Chelsea,Flexible Homelessness Support Grant,6397.0,Inner London,0
Kingston upon Thames,Flexible Homelessness Support Grant,1649.0,Outer London,0
Lambeth,Flexible Homelessness Support Grant,6323.0,Inner London,0
Lewisham,Flexible Homelessness Support Grant,5275.0,Inner London,0
Merton,Flexible Homelessness Support Grant,1438.0,Outer London,0
Newham,Flexible Homelessness Support Grant,11524.0,Inner London,0
Redbridge,Flexible Homelessness Support Grant,5641.0,Outer London,0
Richmond upon Thames,Flexible Homelessness Support Grant,1467.0,Outer London,0
Southwark,Flexible Homelessness Support Grant,5833.0,Inner London,0
Sutton,Flexible Homelessness Support Grant,1830.0,Outer London,0
Tower Hamlets,Flexible Homelessness Support Grant,6080.0,Inner London,0
Waltham Forest,Flexible Homelessness Support Grant,5640.0,Outer London,0
Wandsworth,Flexible Homelessness Support Grant,4613.0,Inner London,0
Westminster,Flexible Homelessness Support Grant,6979.0,Inner London,0
Barking and Dagenham,Housing Benefit Subsidy Admin Grant,768.0,Outer London,0
Barnet,Housing Benefit Subsidy Admin Grant,1249.0,Outer London,0
Bexley,Housing Benefit Subsidy Admin Grant,688.0,Outer London,0
Brent,Housing Benefit Subsidy Admin Grant,1334.0,Outer London,0
Bromley,Housing Benefit Subsidy Admin Grant,736.0,Outer London,0
Camden,Housing Benefit Subsidy Admin Grant,1304.0,Inner London,0
Croydon,Housing Benefit Subsidy Admin Grant,1567.0,Outer London,0
Ealing,Housing Benefit Subsidy Admin Grant,1075.0,Outer London,0
Enfield,Housing Benefit Subsidy Admin Grant,1402.0,Outer London,0
Greenwich,Housing Benefit Subsidy Admin Grant,1760.0,Outer London,0
Hackney,Housing Benefit Subsidy Admin Grant,1726.0,Inner London,0
Hammersmith and Fulham,Housing Benefit Subsidy Admin Grant,988.0,Inner London,0
Haringey,Housing Benefit Subsidy Admin Grant,0.0,Inner London,0
Harrow,Housing Benefit Subsidy Admin Grant,0.0,Outer London,0
Havering,Housing Benefit Subsidy Admin Grant,96.0,Outer London,0
Hillingdon,Housing Benefit Subsidy Admin Grant,973.0,Outer London,0
Hounslow,Housing Benefit Subsidy Admin Grant,978.0,Outer London,0
Islington,Housing Benefit Subsidy Admin Grant,1425.0,Inner London,0
Kensington and Chelsea,Housing Benefit Subsidy Admin Grant,929.0,Inner London,0
Kingston upon Thames,Housing Benefit Subsidy Admin Grant,386.0,Outer London,0
Lambeth,Housing Benefit Subsidy Admin Grant,2254.0,Inner London,0
Lewisham,Housing Benefit Subsidy Admin Grant,1557.0,Inner London,0
Merton,Housing Benefit Subsidy Admin Grant,556.0,Outer London,0
Newham,Housing Benefit Subsidy Admin Grant,2140.0,Inner London,0
Redbridge,Housing Benefit Subsidy Admin Grant,805.0,Outer London,0
Richmond upon Thames,Housing Benefit Subsidy Admin Grant,403.0,Outer London,0
Southwark,Housing Benefit Subsidy Admin Grant,0.0,Inner London,0
Sutton,Housing Benefit Subsidy Admin Grant,514.0,Outer London,0
Tower Hamlets,Housing Benefit Subsidy Admin Grant,1786.0,Inner London,0
Waltham Forest,Housing Benefit Subsidy Admin Grant,854.0,Outer London,0
Wandsworth,Housing Benefit Subsidy Admin Grant,1322.0,Inner London,0
Westminster,Housing Benefit Subsidy Admin Grant,1619.0,Inner London,0
Barking and Dagenham,New Homes Bonus,2140.0,Outer London,0
Barnet,New Homes Bonus,2496.0,Outer London,0
Bexley,New Homes Bonus,942.0,Outer London,0
Brent,New Homes Bonus,2906.0,Outer London,0
Bromley,New Homes Bonus,409.0,Outer London,0
Camden,New Homes Bonus,105.0,Inner London,0
Croydon,New Homes Bonus,2471.0,Outer London,0
Ealing,New Homes Bonus,5310.0,Outer London,0
Enfield,New Homes Bonus,55.0,Outer London,0
Greenwich,New Homes Bonus,1090.0,Outer London,0
Hackney,New Homes Bonus,185.0,Inner London,0
Hammersmith and Fulham,New Homes Bonus,1596.0,Inner London,0
Haringey,New Homes Bonus,1789.0,Inner London,0
Harrow,New Homes Bonus,82.0,Outer London,0
Havering,New Homes Bonus,724.0,Outer London,0
Hillingdon,New Homes Bonus,541.0,Outer London,0
Hounslow,New Homes Bonus,2703.0,Outer London,0
Islington,New Homes Bonus,615.0,Inner London,0
Kensington and Chelsea,New Homes Bonus,35.0,Inner London,0
Kingston upon Thames,New Homes Bonus,497.0,Outer London,0
Lambeth,New Homes Bonus,1225.0,Inner London,0
Lewisham,New Homes Bonus,1993.0,Inner London,0
Merton,New Homes Bonus,152.0,Outer London,0
Newham,New Homes Bonus,2794.0,Inner London,0
Redbridge,New Homes Bonus,26.0,Outer London,0
Richmond upon Thames,New Homes Bonus,13.0,Outer London,0
Southwark,New Homes Bonus,4445.0,Inner London,0
Sutton,New Homes Bonus,257.0,Outer London,0
Tower Hamlets,New Homes Bonus,2171.0,Inner London,0
Waltham Forest,New Homes Bonus,1379.0,Outer London,0
Wandsworth,New Homes Bonus,6477.0,Inner London,0
Westminster,New Homes Bonus,2441.0,Inner London,0
Barking and Dagenham,The Private Finance Initiative (PFI),7634.0,Outer London,0
Barnet,The Private Finance Initiative (PFI),2235.0,Outer London,0
Bexley,The Private Finance Initiative (PFI),2984.0,Outer London,0
Brent,The Private Finance Initiative (PFI),5543.0,Outer London,0
Bromley,The Private Finance Initiative (PFI),0.0,Outer London,0
Camden,The Private Finance Initiative (PFI),0.0,Inner London,0
Croydon,The Private Finance Initiative (PFI),2869.0,Outer London,0
Ealing,The Private Finance Initiative (PFI),15806.0,Outer London,0
Enfield,The Private Finance Initiative (PFI),6799.0,Outer London,0
Greenwich,The Private Finance Initiative (PFI),14382.0,Outer London,0
Hackney,The Private Finance Initiative (PFI),1387.0,Inner London,0
