borough,variable,value,borough_category,is_per_capita
Haringey,Special schools and alternative provision,71256.0,Inner London,0
Harrow,Special schools and alternative provision,42726.0,Outer London,0
Havering,Special schools and alternative provision,16378.0,Outer London,0
Hillingdon,Special schools and alternative provision,49065.0,Outer London,0
Hounslow,Special schools and alternative provision,61173.0,Outer London,0
Islington,Special schools and alternative provision,10949.0,Inner London,0
Kensington and Chelsea,Special schools and alternative provision,13378.0,Inner London,0
Kingston upon Thames,Special schools and alternative provision,17864.0,Outer London,0
Lambeth,Special schools and alternative provision,46788.0,Inner London,0
Lewisham,Special schools and alternative provision,69625.0,Inner London,0
Merton,Special schools and alternative provision,52194.0,Outer London,0
Newham,Special schools and alternative provision,14426.0,Inner London,0
Redbridge,Special schools and alternative provision,30687.0,Outer London,0
Richmond upon Thames,Special schools and alternative provision,20736.0,Outer London,0
Southwark,Special schools and alternative provision,23863.0,Inner London,0
Sutton,Special schools and alternative provision,28524.0,Outer London,0
Tower Hamlets,Special schools and alternative provision,108264.0,Inner London,0
Waltham Forest,Special schools and alternative provision,27938.0,Outer London,0
Wandsworth,Special schools and alternative provision,49117.0,Inner London,0
Westminster,Special schools and alternative provision,21440.0,Inner London,0
Barking and Dagenham,Post-16 provision,11920.0,Outer London,0
Barnet,Post-16 provision,4596.0,Outer London,0
Bexley,Post-16 provision,5061.0,Outer London,0
Brent,Post-16 provision,5131.0,Outer London,0
Bromley,Post-16 provision,8005.0,Outer London,0
Camden,Post-16 provision,0.0,Inner London,0
Croydon,Post-16 provision,5306.0,Outer London,0
Ealing,Post-16 provision,11217.0,Outer London,0
Enfield,Post-16 provision,17233.0,Outer London,0
Greenwich,Post-16 provision,12860.0,Outer London,0
Hackney,Post-16 provision,6581.0,Inner London,0
Hammersmith and Fulham,Post-16 provision,9603.0,Inner London,0
Haringey,Post-16 provision,8375.0,Inner London,0
Harrow,Post-16 provision,5414.0,Outer London,0
Havering,Post-16 provision,3738.0,Outer London,0
Hillingdon,Post-16 provision,2454.0,Outer London,0
Hounslow,Post-16 provision,6056.0,Outer London,0
Islington,Post-16 provision,4762.0,Inner London,0
Kensington and Chelsea,Post-16 provision,1671.0,Inner London,0
Kingston upon Thames,Post-16 provision,1961.0,Outer London,0
Lambeth,Post-16 provision,4987.0,Inner London,0
Lewisham,Post-16 provision,8666.0,Inner London,0
Merton,Post-16 provision,8706.0,Outer London,0
Newham,Post-16 provision,3563.0,Inner London,0
Redbridge,Post-16 provision,29740.0,Outer London,0
Richmond upon Thames,Post-16 provision,878.0,Outer London,0
Southwark,Post-16 provision,0.0,Inner London,0
Sutton,Post-16 provision,5165.0,Outer London,0
Tower Hamlets,Post-16 provision,17275.0,Inner London,0
Waltham Forest,Post-16 provision,7153.0,Outer London,0
Wandsworth,Post-16 provision,2714.0,Inner London,0
Westminster,Post-16 provision,12839.0,Inner London,0
Barking and Dagenham,Other education and community budget,7289.0,Outer London,0
Barnet,Other education and community budget,27465.0,Outer London,0
Bexley,Other education and community budget,18258.0,Outer London,0
Brent,Other education and community budget,24654.0,Outer London,0
Bromley,Other education and community budget,21882.0,Outer London,0
Camden,Other education and community budget,14641.0,Inner London,0
Croydon,Other education and community budget,38205.0,Outer London,0
Ealing,Other education and community budget,12961.0,Outer London,0
Enfield,Other education and community budget,28839.0,Outer London,0
Greenwich,Other education and community budget,16223.0,Outer London,0
Hackney,Other education and community budget,13924.0,Inner London,0
Hammersmith and Fulham,Other education and community budget,15092.0,Inner London,0
Haringey,Other education and community budget,12868.0,Inner London,0
Harrow,Other education and community budget,16145.0,Outer London,0
Havering,Other education and community budget,15452.0,Outer London,0
Hillingdon,Other education and community budget,24699.0,Outer London,0
Hounslow,Other education and community budget,16311.0,Outer London,0
Islington,Other education and community budget,56239.0,Inner London,0
Kensington and Chelsea,Other education and community budget,12765.0,Inner London,0
Kingston upon Thames,Other education and community budget,14321.0,Outer London,0
Lambeth,Other education and community budget,14881.0,Inner London,0
Lewisham,Other education and community budget,17183.0,Inner London,0
Merton,Other education and community budget,37237.0,Outer London,0
Newham,Other education and community budget,17934.0,Inner London,0
Redbridge,Other education and community budget,27954.0,Outer London,0
Richmond upon Thames,Other education and community budget,13077.0,Outer London,0
Southwark,Other education and community budget,15512.0,Inner London,0
Sutton,Other education and community budget,19054.0,Outer London,0
Tower Hamlets,Other education and community budget,19833.0,Inner London,0
Waltham Forest,Other education and community budget,29501.0,Outer London,0
Wandsworth,Other education and community budget,18998.0,Inner London,0
Westminster,Other education and community budget,17513.0,Inner London,0
Barking and Dagenham,TOTAL EDUCATION SERVICES,333618.0,Outer London,0
Barnet,TOTAL EDUCATION SERVICES,289332.0,Outer London,0
Bexley,TOTAL EDUCATION SERVICES,128654.0,Outer London,0
Brent,TOTAL EDUCATION SERVICES,267911.0,Outer London,0
Bromley,TOTAL EDUCATION SERVICES,148546.0,Outer London,0
Camden,TOTAL EDUCATION SERVICES,241074.0,Inner London,0
Croydon,TOTAL EDUCATION SERVICES,240928.0,Outer London,0
Ealing,TOTAL EDUCATION SERVICES,410339.0,Outer London,0
Enfield,TOTAL EDUCATION SERVICES,322410.0,Outer London,0
Greenwich,TOTAL EDUCATION SERVICES,306205.0,Outer London,0
Hackney,TOTAL EDUCATION SERVICES,317063.0,Inner London,0
Hammersmith and Fulham,TOTAL EDUCATION SERVICES,111259.0,Inner London,0
Haringey,TOTAL EDUCATION SERVICES,348900.0,Inner London,0
Harrow,TOTAL EDUCATION SERVICES,180704.0,Outer London,0
Havering,TOTAL EDUCATION SERVICES,200177.0,Outer London,0
Hillingdon,TOTAL EDUCATION SERVICES,245353.0,Outer London,0
Hounslow,TOTAL EDUCATION SERVICES,255792.0,Outer London,0
Islington,TOTAL EDUCATION SERVICES,202730.0,Inner London,0
Kensington and Chelsea,TOTAL EDUCATION SERVICES,98934.0,Inner London,0
Kingston upon Thames,TOTAL EDUCATION SERVICES,117680.0,Outer London,0
Lambeth,TOTAL EDUCATION SERVICES,310298.0,Inner London,0
Lewisham,TOTAL EDUCATION SERVICES,358800.0,Inner London,0
Merton,TOTAL EDUCATION SERVICES,245929.0,Outer London,0
Newham,TOTAL EDUCATION SERVICES,307267.0,Inner London,0
Redbridge,TOTAL EDUCATION SERVICES,353668.0,Outer London,0
Richmond upon Thames,TOTAL EDUCATION SERVICES,152489.0,Outer London,0
Southwark,TOTAL EDUCATION SERVICES,234656.0,Inner London,0
Sutton,TOTAL EDUCATION SERVICES,157473.0,Outer London,0
Tower Hamlets,TOTAL EDUCATION SERVICES,511720.0,Inner London,0
Waltham Forest,TOTAL EDUCATION SERVICES,291482.0,Outer London,0
Wandsworth,TOTAL EDUCATION SERVICES,207110.0,Inner London,0
Westminster,TOTAL EDUCATION SERVICES,123750.0,Inner London,0
Barking and Dagenham,"Transport planning, policy and strategy ",2042.0,Outer London,0
Barnet,"Transport planning, policy and strategy ",-3938.0,Outer London,0
Bexley,"Transport planning, policy and strategy ",2355.0,Outer London,0
Brent,"Transport planning, policy and strategy ",501.0,Outer London,0
Bromley,"Transport planning, policy and strategy ",42.0,Outer London,0
Camden,"Transport planning, policy and strategy ",-94.0,Inner London,0
Croydon,"Transport planning, policy and strategy ",8.0,Outer London,0
Ealing,"Transport planning, policy and strategy ",1294.0,Outer London,0
Enfield,"Transport planning, policy and strategy ",544.0,Outer London,0
Greenwich,"Transport planning, policy and strategy ",3917.0,Outer London,0
Hackney,"Transport planning, policy and strategy ",4389.0,Inner London,0
Hammersmith and Fulham,"Transport planning, policy and strategy ",681.0,Inner London,0
Haringey,"Transport planning, policy and strategy ",0.0,Inner London,0
Harrow,"Transport planning, policy and strategy ",-100.0,Outer London,0
Havering,"Transport planning, policy and strategy ",242.0,Outer London,0
Hillingdon,"Transport planning, policy and strategy ",283.0,Outer London,0
Hounslow,"Transport planning, policy and strategy ",5212.0,Outer London,0
Islington,"Transport planning, policy and strategy ",3693.0,Inner London,0
Kensington and Chelsea,"Transport planning, policy and strategy ",297.0,Inner London,0
Kingston upon Thames,"Transport planning, policy and strategy ",1213.0,Outer London,0
Lambeth,"Transport planning, policy and strategy ",-837.0,Inner London,0
Lewisham,"Transport planning, policy and strategy ",-740.0,Inner London,0
Merton,"Transport planning, policy and strategy ",816.0,Outer London,0
Newham,"Transport planning, policy and strategy ",148.0,Inner London,0
Redbridge,"Transport planning, policy and strategy ",1864.0,Outer London,0
Richmond upon Thames,"Transport planning, policy and strategy ",-123.0,Outer London,0
Southwark,"Transport planning, policy and strategy ",1153.0,Inner London,0
Sutton,"Transport planning, policy and strategy ",368.0,Outer London,0
Tower Hamlets,"Transport planning, policy and strategy ",481.0,Inner London,0
Waltham Forest,"Transport planning, policy and strategy ",1166.0,Outer London,0
Wandsworth,"Transport planning, policy and strategy ",616.0,Inner London,0
Westminster,"Transport planning, policy and strategy ",5029.0,Inner London,0
Barking and Dagenham,Structural maintenance,685.0,Outer London,0
Barnet,Structural maintenance,3636.0,Outer London,0
Bexley,Structural maintenance,-143.0,Outer London,0
Brent,Structural maintenance,1269.0,Outer London,0
Bromley,Structural maintenance,7153.0,Outer London,0
Camden,Structural maintenance,2889.0,Inner London,0
Croydon,Structural maintenance,0.0,Outer London,0
Ealing,Structural maintenance,1847.0,Outer London,0
Enfield,Structural maintenance,1203.0,Outer London,0
Greenwich,Structural maintenance,3272.0,Outer London,0
Hackney,Structural maintenance,-133.0,Inner London,0
Hammersmith and Fulham,Structural maintenance,406.0,Inner London,0
Haringey,Structural maintenance,1708.0,Inner London,0
Harrow,Structural maintenance,286.0,Outer London,0
Havering,Structural maintenance,3155.0,Outer London,0
Hillingdon,Structural maintenance,3073.0,Outer London,0
Hounslow,Structural maintenance,15012.0,Outer London,0
Islington,Structural maintenance,0.0,Inner London,0
Kensington and Chelsea,Structural maintenance,4775.0,Inner London,0
Kingston upon Thames,Structural maintenance,2370.0,Outer London,0
Lambeth,Structural maintenance,1975.0,Inner London,0
Lewisham,Structural maintenance,924.0,Inner London,0
Merton,Structural maintenance,328.0,Outer London,0
Newham,Structural maintenance,1980.0,Inner London,0
Redbridge,Structural maintenance,1301.0,Outer London,0
Richmond upon Thames,Structural maintenance,2896.0,Outer London,0
Southwark,Structural maintenance,264.0,Inner London,0
Sutton,Structural maintenance,700.0,Outer London,0
Tower Hamlets,Structural maintenance,1550.0,Inner London,0
Waltham Forest,Structural maintenance,4496.0,Outer London,0
Wandsworth,Structural maintenance,2184.0,Inner London,0
Westminster,Structural maintenance,3250.0,Inner London,0
Barking and Dagenham,"Environmental, safety and routine maintenance",0.0,Outer London,0
Barnet,"Environmental, safety and routine maintenance",5065.0,Outer London,0
Bexley,"Environmental, safety and routine maintenance",916.0,Outer London,0
Brent,"Environmental, safety and routine maintenance",5697.0,Outer London,0
Bromley,"Environmental, safety and routine maintenance",2446.0,Outer London,0
Camden,"Environmental, safety and routine maintenance",0.0,Inner London,0
Croydon,"Environmental, safety and routine maintenance",3006.0,Outer London,0
Ealing,"Environmental, safety and routine maintenance",920.0,Outer London,0
Enfield,"Environmental, safety and routine maintenance",1758.0,Outer London,0
Greenwich,"Environmental, safety and routine maintenance",1022.0,Outer London,0
Hackney,"Environmental, safety and routine maintenance",1562.0,Inner London,0
Hammersmith and Fulham,"Environmental, safety and routine maintenance",2890.0,Inner London,0
Haringey,"Environmental, safety and routine maintenance",2098.0,Inner London,0
Harrow,"Environmental, safety and routine maintenance",1840.0,Outer London,0
Havering,"Environmental, safety and routine maintenance",2179.0,Outer London,0
Hillingdon,"Environmental, safety and routine maintenance",1218.0,Outer London,0
Hounslow,"Environmental, safety and routine maintenance",7638.0,Outer London,0
Islington,"Environmental, safety and routine maintenance",3757.0,Inner London,0
Kensington and Chelsea,"Environmental, safety and routine maintenance",652.0,Inner London,0
Kingston upon Thames,"Environmental, safety and routine maintenance",-12.0,Outer London,0
Lambeth,"Environmental, safety and routine maintenance",0.0,Inner London,0
Lewisham,"Environmental, safety and routine maintenance",1339.0,Inner London,0
Merton,"Environmental, safety and routine maintenance",2293.0,Outer London,0
Newham,"Environmental, safety and routine maintenance",71.0,Inner London,0
Redbridge,"Environmental, safety and routine maintenance",3851.0,Outer London,0
Richmond upon Thames,"Environmental, safety and routine maintenance",2824.0,Outer London,0
Southwark,"Environmental, safety and routine maintenance",9894.0,Inner London,0
Sutton,"Environmental, safety and routine maintenance",264.0,Outer London,0
Tower Hamlets,"Environmental, safety and routine maintenance",74.0,Inner London,0
Waltham Forest,"Environmental, safety and routine maintenance",3222.0,Outer London,0
Wandsworth,"Environmental, safety and routine maintenance",2230.0,Inner London,0
Westminster,"Environmental, safety and routine maintenance",3327.0,Inner London,0
Barking and Dagenham,Winter service,0.0,Outer London,0
Barnet,Winter service,925.0,Outer London,0
Bexley,Winter service,428.0,Outer London,0
Brent,Winter service,446.0,Outer London,0
Bromley,Winter service,330.0,Outer London,0
Camden,Winter service,0.0,Inner London,0
Croydon,Winter service,484.0,Outer London,0
Ealing,Winter service,207.0,Outer London,0
Enfield,Winter service,271.0,Outer London,0
Greenwich,Winter service,452.0,Outer London,0
Hackney,Winter service,61.0,Inner London,0
Hammersmith and Fulham,Winter service,194.0,Inner London,0
Haringey,Winter service,202.0,Inner London,0
Harrow,Winter service,220.0,Outer London,0
Havering,Winter service,476.0,Outer London,0
Hillingdon,Winter service,0.0,Outer London,0
Hounslow,Winter service,338.0,Outer London,0
Islington,Winter service,112.0,Inner London,0
Kensington and Chelsea,Winter service,0.0,Inner London,0
Kingston upon Thames,Winter service,490.0,Outer London,0
Lambeth,Winter service,0.0,Inner London,0
Lewisham,Winter service,326.0,Inner London,0
Merton,Winter service,131.0,Outer London,0
Newham,Winter service,459.0,Inner London,0
Redbridge,Winter service,303.0,Outer London,0
Richmond upon Thames,Winter service,276.0,Outer London,0
Southwark,Winter service,162.0,Inner London,0
Sutton,Winter service,81.0,Outer London,0
Tower Hamlets,Winter service,154.0,Inner London,0
Waltham Forest,Winter service,445.0,Outer London,0
Wandsworth,Winter service,202.0,Inner London,0
Westminster,Winter service,328.0,Inner London,0
Barking and Dagenham,Street lighting (including energy costs),1463.0,Outer London,0
Barnet,Street lighting (including energy costs),9560.0,Outer London,0
Bexley,Street lighting (including energy costs),1707.0,Outer London,0
Brent,Street lighting (including energy costs),1570.0,Outer London,0
Bromley,Street lighting (including energy costs),3968.0,Outer London,0
Camden,Street lighting (including energy costs),179.0,Inner London,0
Croydon,Street lighting (including energy costs),6297.0,Outer London,0
Ealing,Street lighting (including energy costs),7005.0,Outer London,0
Enfield,Street lighting (including energy costs),5237.0,Outer London,0
Greenwich,Street lighting (including energy costs),2167.0,Outer London,0
Hackney,Street lighting (including energy costs),1164.0,Inner London,0
Hammersmith and Fulham,Street lighting (including energy costs),1042.0,Inner London,0
Haringey,Street lighting (including energy costs),1257.0,Inner London,0
Harrow,Street lighting (including energy costs),2021.0,Outer London,0
Havering,Street lighting (including energy costs),2149.0,Outer London,0
Hillingdon,Street lighting (including energy costs),1358.0,Outer London,0
Hounslow,Street lighting (including energy costs),4508.0,Outer London,0
Islington,Street lighting (including energy costs),4221.0,Inner London,0
Kensington and Chelsea,Street lighting (including energy costs),2880.0,Inner London,0
Kingston upon Thames,Street lighting (including energy costs),1611.0,Outer London,0
Lambeth,Street lighting (including energy costs),3911.0,Inner London,0
Lewisham,Street lighting (including energy costs),2624.0,Inner London,0
Merton,Street lighting (including energy costs),986.0,Outer London,0
Newham,Street lighting (including energy costs),918.0,Inner London,0
Redbridge,Street lighting (including energy costs),3932.0,Outer London,0
Richmond upon Thames,Street lighting (including energy costs),1860.0,Outer London,0
Southwark,Street lighting (including energy costs),3419.0,Inner London,0
Sutton,Street lighting (including energy costs),1476.0,Outer London,0
Tower Hamlets,Street lighting (including energy costs),1994.0,Inner London,0
Waltham Forest,Street lighting (including energy costs),3280.0,Outer London,0
Wandsworth,Street lighting (including energy costs),2294.0,Inner London,0
Westminster,Street lighting (including energy costs),2033.0,Inner London,0
Barking and Dagenham,Traffic management and road safety: congestion charging,0.0,Outer London,0
Barnet,Traffic management and road safety: congestion charging,0.0,Outer London,0
Bexley,Traffic management and road safety: congestion charging,0.0,Outer London,0
Brent,Traffic management and road safety: congestion charging,0.0,Outer London,0
Bromley,Traffic management and road safety: congestion charging,0.0,Outer London,0
Camden,Traffic management and road safety: congestion charging,0.0,Inner London,0
Croydon,Traffic management and road safety: congestion charging,0.0,Outer London,0
Ealing,Traffic management and road safety: congestion charging,0.0,Outer London,0
Enfield,Traffic management and road safety: congestion charging,0.0,Outer London,0
Greenwich,Traffic management and road safety: congestion charging,0.0,Outer London,0
Hackney,Traffic management and road safety: congestion charging,0.0,Inner London,0
Hammersmith and Fulham,Traffic management and road safety: congestion charging,0.0,Inner London,0
Haringey,Traffic management and road safety: congestion charging,0.0,Inner London,0
Harrow,Traffic management and road safety: congestion charging,0.0,Outer London,0
Havering,Traffic management and road safety: congestion charging,0.0,Outer London,0
Hillingdon,Traffic management and road safety: congestion charging,0.0,Outer London,0
Hounslow,Traffic management and road safety: congestion charging,0.0,Outer London,0
Islington,Traffic management and road safety: congestion charging,0.0,Inner London,0
Kensington and Chelsea,Traffic management and road safety: congestion charging,0.0,Inner London,0
Kingston upon Thames,Traffic management and road safety: congestion charging,0.0,Outer London,0
Lambeth,Traffic management and road safety: congestion charging,0.0,Inner London,0
Lewisham,Traffic management and road safety: congestion charging,0.0,Inner London,0
Merton,Traffic management and road safety: congestion charging,0.0,Outer London,0
Newham,Traffic management and road safety: congestion charging,0.0,Inner London,0
Redbridge,Traffic management and road safety: congestion charging,0.0,Outer London,0
Richmond upon Thames,Traffic management and road safety: congestion charging,0.0,Outer London,0
Southwark,Traffic management and road safety: congestion charging,-66.0,Inner London,0
Sutton,Traffic management and road safety: congestion charging,0.0,Outer London,0
Tower Hamlets,Traffic management and road safety: congestion charging,0.0,Inner London,0
Waltham Forest,Traffic management and road safety: congestion charging,0.0,Outer London,0
Wandsworth,Traffic management and road safety: congestion charging,0.0,Inner London,0
Westminster,Traffic management and road safety: congestion charging,0.0,Inner London,0
Barking and Dagenham,Traffic management and road safety: traffic management � bus lane enforcement,0.0,Outer London,0
Barnet,Traffic management and road safety: traffic management � bus lane enforcement,0.0,Outer London,0
Bexley,Traffic management and road safety: traffic management � bus lane enforcement,0.0,Outer London,0
Brent,Traffic management and road safety: traffic management � bus lane enforcement,-397.0,Outer London,0
Bromley,Traffic management and road safety: traffic management � bus lane enforcement,-809.0,Outer London,0
Camden,Traffic management and road safety: traffic management � bus lane enforcement,0.0,Inner London,0
Croydon,Traffic management and road safety: traffic management � bus lane enforcement,0.0,Outer London,0
Ealing,Traffic management and road safety: traffic management � bus lane enforcement,-1350.0,Outer London,0
Enfield,Traffic management and road safety: traffic management � bus lane enforcement,0.0,Outer London,0
Greenwich,Traffic management and road safety: traffic management � bus lane enforcement,-4727.0,Outer London,0
Hackney,Traffic management and road safety: traffic management � bus lane enforcement,60.0,Inner London,0
Hammersmith and Fulham,Traffic management and road safety: traffic management � bus lane enforcement,0.0,Inner London,0
Haringey,Traffic management and road safety: traffic management � bus lane enforcement,0.0,Inner London,0
Harrow,Traffic management and road safety: traffic management � bus lane enforcement,0.0,Outer London,0
Havering,Traffic management and road safety: traffic management � bus lane enforcement,0.0,Outer London,0
Hillingdon,Traffic management and road safety: traffic management � bus lane enforcement,0.0,Outer London,0
Hounslow,Traffic management and road safety: traffic management � bus lane enforcement,163.0,Outer London,0
Islington,Traffic management and road safety: traffic management � bus lane enforcement,0.0,Inner London,0
Kensington and Chelsea,Traffic management and road safety: traffic management � bus lane enforcement,0.0,Inner London,0
Kingston upon Thames,Traffic management and road safety: traffic management � bus lane enforcement,-474.0,Outer London,0
Lambeth,Traffic management and road safety: traffic management � bus lane enforcement,0.0,Inner London,0
Lewisham,Traffic management and road safety: traffic management � bus lane enforcement,0.0,Inner London,0
Merton,Traffic management and road safety: traffic management � bus lane enforcement,-2153.0,Outer London,0
Newham,Traffic management and road safety: traffic management � bus lane enforcement,-313.0,Inner London,0
Redbridge,Traffic management and road safety: traffic management � bus lane enforcement,0.0,Outer London,0
Richmond upon Thames,Traffic management and road safety: traffic management � bus lane enforcement,0.0,Outer London,0
Southwark,Traffic management and road safety: traffic management � bus lane enforcement,0.0,Inner London,0
Sutton,Traffic management and road safety: traffic management � bus lane enforcement,-25.0,Outer London,0
Tower Hamlets,Traffic management and road safety: traffic management � bus lane enforcement,0.0,Inner London,0
Waltham Forest,Traffic management and road safety: traffic management � bus lane enforcement,-87.0,Outer London,0
Wandsworth,Traffic management and road safety: traffic management � bus lane enforcement,0.0,Inner London,0
Westminster,Traffic management and road safety: traffic management � bus lane enforcement,0.0,Inner London,0
Barking and Dagenham,Traffic management and road safety: road safety education and safe routes (including school crossing patrols),0.0,Outer London,0
Barnet,Traffic management and road safety: road safety education and safe routes (including school crossing patrols),0.0,Outer London,0
Bexley,Traffic management and road safety: road safety education and safe routes (including school crossing patrols),31.0,Outer London,0
Brent,Traffic management and road safety: road safety education and safe routes (including school crossing patrols),900.0,Outer London,0
Bromley,Traffic management and road safety: road safety education and safe routes (including school crossing patrols),0.0,Outer London,0
Camden,Traffic management and road safety: road safety education and safe routes (including school crossing patrols),82.0,Inner London,0
Croydon,Traffic management and road safety: road safety education and safe routes (including school crossing patrols),176.0,Outer London,0
Ealing,Traffic management and road safety: road safety education and safe routes (including school crossing patrols),-936.0,Outer London,0
Enfield,Traffic management and road safety: road safety education and safe routes (including school crossing patrols),0.0,Outer London,0
Greenwich,Traffic management and road safety: road safety education and safe routes (including school crossing patrols),367.0,Outer London,0
Hackney,Traffic management and road safety: road safety education and safe routes (including school crossing patrols),404.0,Inner London,0
Hammersmith and Fulham,Traffic management and road safety: road safety education and safe routes (including school crossing patrols),403.0,Inner London,0
Haringey,Traffic management and road safety: road safety education and safe routes (including school crossing patrols),105.0,Inner London,0
Harrow,Traffic management and road safety: road safety education and safe routes (including school crossing patrols),34.0,Outer London,0
Havering,Traffic management and road safety: road safety education and safe routes (including school crossing patrols),139.0,Outer London,0
Hillingdon,Traffic management and road safety: road safety education and safe routes (including school crossing patrols),0.0,Outer London,0
Hounslow,Traffic management and road safety: road safety education and safe routes (including school crossing patrols),325.0,Outer London,0
Islington,Traffic management and road safety: road safety education and safe routes (including school crossing patrols),140.0,Inner London,0
Kensington and Chelsea,Traffic management and road safety: road safety education and safe routes (including school crossing patrols),0.0,Inner London,0
